phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KM382120_2249814958,KM382120,2249814958,47.7285,-109.404,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382122_2249816607,KM382122,2249816607,39.684,-107.189,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382123_2249815368,KM382123,2249815368,36.5599,-118.782,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382124_2249816351,KM382124,2249816351,36.7867,-118.62,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382125_2249816807,KM382125,2249816807,36.7867,-118.62,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382133_2249814883,KM382133,2249814883,37.2297,-116.206,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382134_2249815056,KM382134,2249815056,37.2297,-116.206,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382135_2249816552,KM382135,2249816552,35.9786,-115.536,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382136_2249816962,KM382136,2249816962,36.3718,-115.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382137_2249817649,KM382137,2249817649,35.2045,-106.311,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382138_2249815715,KM382138,2249815715,49.0574,-117.412,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382139_2249816659,KM382139,2249816659,49.0533,-117.404,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382140_2249816658,KM382140,2249816658,47.8125,-116.896,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382144_2308227917,KM382144,2308227917,56.4781,-132.387,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM382145_2249816583,KM382145,2249816583,41.5744,-106.286,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382146_2249815795,KM382146,2249815795,41.5744,-106.286,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
KM382147_2249816276,KM382147,2249816276,41.5744,-106.286,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
