phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MH010730_2304615007,MH010730,2304615007,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010731_2307084854,MH010731,2307084854,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010732_2307644727,MH010732,2307644727,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010733_2306265812,MH010733,2306265812,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010734_2307090495,MH010734,2307090495,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010735_2305377008,MH010735,2305377008,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010736_2306514930,MH010736,2306514930,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010737_2306160348,MH010737,2306160348,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010738_2304656098,MH010738,2304656098,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010739_2307201883,MH010739,2307201883,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010740_2308414353,MH010740,2308414353,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010741_2304483932,MH010741,2304483932,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010742_2306485331,MH010742,2306485331,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010743_2306448789,MH010743,2306448789,-1.13,36.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010744_2306479296,MH010744,2306479296,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010745_2306401944,MH010745,2306401944,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010746_2307547135,MH010746,2307547135,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MH010747_2304519123,MH010747,2304519123,-2.34,37.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
