phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
HM541241_2310445292,HM541241,2310445292,18.267,105.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541242_2310063053,HM541242,2310063053,17.95,105.383,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541243_2307891142,HM541243,2307891142,17.95,105.383,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541245_2310021426,HM541245,2310021426,22.333,105.417,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541247_2310385813,HM541247,2310385813,22.333,105.417,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541249_2310429478,HM541249,2310429478,20.45,103.383,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541250_2306597763,HM541250,2306597763,21.846,107.889,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541251_2307545678,HM541251,2307545678,21.846,107.889,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541252_2306222658,HM541252,2306222658,21.846,107.889,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541253_2305911150,HM541253,2305911150,22.333,105.417,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541254_2307179976,HM541254,2307179976,21.683,106.333,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM541255_2305511361,HM541255,2305511361,17.833,104.667,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF444007_2248797613,JF444007,2248797613,17.8333,104.667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF444008_2248798595,JF444008,2248798595,17.8333,104.667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF444010_2248798514,JF444010,2248798514,22.3333,105.417,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
