phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KU531309_2306840103,KU531309,2306840103,8.08,20.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531310_2306576346,KU531310,2306576346,8.08,20.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531311_2308066516,KU531311,2308066516,8.08,20.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531312_2304540323,KU531312,2304540323,8.08,20.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531313_2304238853,KU531313,2304238853,8.08,20.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531314_2304353736,KU531314,2304353736,8.08,20.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531315_2305195641,KU531315,2305195641,9,-8.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531317_2304471905,KU531317,2304471905,-19.4,17.89,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531318_2309341977,KU531318,2309341977,-19.4,17.89,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531319_2306529912,KU531319,2306529912,-19.4,17.89,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531320_2310081185,KU531320,2310081185,-19.4,16.99,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531321_2310689298,KU531321,2310689298,-19.4,16.99,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531322_2310519756,KU531322,2310519756,-23.24,16.78,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531323_2310710129,KU531323,2310710129,-21.75,16.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531324_2310159000,KU531324,2310159000,-21.75,16.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531325_2308961642,KU531325,2308961642,-21.75,16.04,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531326_2308315675,KU531326,2308315675,14.17,-16.77,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531327_2310950780,KU531327,2310950780,14.17,-16.77,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531328_2310505004,KU531328,2310505004,14.17,-16.77,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531329_2309168228,KU531329,2309168228,-17.15,29.96,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531330_2310428668,KU531330,2310428668,-17.15,29.96,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531331_2308513067,KU531331,2308513067,-20.94,31.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531332_2309635004,KU531332,2309635004,-16.09,29.46,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531333_2311039815,KU531333,2311039815,-16.09,29.46,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531334_2307974186,KU531334,2307974186,-16.38,30.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531335_2309070534,KU531335,2309070534,-19.78,32.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KU531336_2309437119,KU531336,2309437119,-19.78,32.68,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
