phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KU531337_2310111749,KU531337,2310111749,-22.5,30.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531338_2311006139,KU531338,2311006139,-22.5,30.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531341_2310329815,KU531341,2310329815,-14.73,26.9,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531342_2310733423,KU531342,2310733423,-15.6,28.72,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531343_2311089389,KU531343,2311089389,-17.36,30.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531344_2309286760,KU531344,2309286760,-17.36,30.13,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531345_2309715167,KU531345,2309715167,-16.4,30.86,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531346_2310090363,KU531346,2310090363,-16.4,30.86,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531348_2305448592,KU531348,2305448592,-20.51,28.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531349_2305097485,KU531349,2305097485,-20.12,30.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531350_2304699264,KU531350,2304699264,-19.78,32.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
KU531351_2304142590,KU531351,2304142590,-19.78,32.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,0
