phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MK410404_2308813797,MK410404,2308813797,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410405_2308408456,MK410405,2308408456,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410406_2310073328,MK410406,2310073328,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410407_2633187788,MK410407,2633187788,22.0571,94.9788,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MK410408_2633624837,MK410408,2633624837,22.0571,94.9788,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MK410409_2309688650,MK410409,2309688650,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410410_2308448592,MK410410,2308448592,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410411_2309316223,MK410411,2309316223,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410412_2310778353,MK410412,2310778353,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410413_2310895990,MK410413,2310895990,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410414_2308626462,MK410414,2308626462,22.06,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410415_2308882302,MK410415,2308882302,20.57,97.88,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410416_2309378026,MK410416,2309378026,20.57,97.88,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410417_2310833295,MK410417,2310833295,22.05,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MK410418_2309590738,MK410418,2309590738,22.05,94.98,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
