phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843264_2248761434,AB843264,2248761434,43.742,145.067,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843265_2248760386,AB843265,2248760386,42.888,143.438,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843266_2248762537,AB843266,2248762537,42.888,143.438,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843834_2251606665,AB843834,2251606665,35.767,140.25,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843835_2251606941,AB843835,2251606941,43.283,145.583,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843836_2251608594,AB843836,2251608594,37.967,139.167,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186044_2979526618,MN186044,2979526618,49.7417,102.758,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186045_2979553622,MN186045,2979553622,49.7417,102.758,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186046_2979389614,MN186046,2979389614,49.7417,102.758,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186047_2979532609,MN186047,2979532609,50.3074,105.001,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186048_2979360596,MN186048,2979360596,50.3074,105.001,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186049_2979518593,MN186049,2979518593,49.7172,106.667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN186050_2979374573,MN186050,2979374573,49.7172,106.667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ482889_2306267385,GQ482889,2306267385,45.19,148.24,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482890_2304374542,GQ482890,2304374542,44.48,147.14,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482891_2304952665,GQ482891,2304952665,44.48,147.14,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482892_2307144460,GQ482892,2307144460,44.48,147.14,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482893_2308376101,GQ482893,2308376101,44.48,147.14,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482894_2310691409,GQ482894,2310691409,50.75,137.72,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482895_2309265443,GQ482895,2309265443,50.93,143.47,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482896_2308830852,GQ482896,2308830852,52.18,106.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482897_2310870878,GQ482897,2310870878,50.35,90.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482898_2308915266,GQ482898,2308915266,43.82,131.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482899_2308686291,GQ482899,2308686291,48.03,118.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499174_2305038760,JF499174,2305038760,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499175_2307560968,JF499175,2307560968,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
