phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
FJ473057_2309818942,FJ473057,2309818942,14.13,122.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473058_2310643054,FJ473058,2310643054,14.13,122.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473064_2249769190,FJ473064,2249769190,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473082_2306131997,FJ473082,2306131997,-1.17,116.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473092_2307095886,FJ473092,2307095886,-1.17,116.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473096_2308526885,FJ473096,2308526885,12.48,122.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473097_2307648258,FJ473097,2307648258,12.48,122.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473107_2309085511,FJ473107,2309085511,8.12,124.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473115_2305763653,FJ473115,2305763653,1.49,103.79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473122_2249769148,FJ473122,2249769148,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473123_2249769159,FJ473123,2249769159,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473128_2249769143,FJ473128,2249769143,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473140_2310678452,FJ473140,2310678452,6.29,116.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473141_2308224256,FJ473141,2308224256,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473144_2311074079,FJ473144,2311074079,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473145_2249769135,FJ473145,2249769135,5.326,115.674,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473146_2249769125,FJ473146,2249769125,5.326,115.674,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473157_2310069655,FJ473157,2310069655,-0.4,99.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473164_2305835195,FJ473164,2305835195,1.3,103.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473175_2306474120,FJ473175,2306474120,1.3,103.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473185_2310672151,FJ473185,2310672151,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473192_2309065172,FJ473192,2309065172,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473200_2304328648,FJ473200,2304328648,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473203_2306010244,FJ473203,2306010244,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473204_2305098472,FJ473204,2305098472,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473205_2306801199,FJ473205,2306801199,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473206_2307535615,FJ473206,2307535615,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473211_2306158091,FJ473211,2306158091,7,125.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473212_2307865985,FJ473212,2307865985,7,125.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473213_2308798138,FJ473213,2308798138,7,125.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473214_2310252208,FJ473214,2310252208,7,125.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473218_2308415194,FJ473218,2308415194,17.85,121.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473219_2309177941,FJ473219,2309177941,17.85,121.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473235_2310328331,FJ473235,2310328331,1.3,103.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473239_2310084832,FJ473239,2310084832,17,122,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ487647_2308898070,FJ487647,2308898070,14.13,122.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487648_2305478047,FJ487648,2305478047,14.13,122.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487665_2304154725,FJ487665,2304154725,-0.82,117.05,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487685_2307882484,FJ487685,2307882484,-1.17,116.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487695_2304939805,FJ487695,2304939805,-1.17,116.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487700_2309351069,FJ487700,2309351069,12.48,122.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487701_2310216793,FJ487701,2310216793,12.48,122.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487713_2310652797,FJ487713,2310652797,8.12,124.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487721_2309396078,FJ487721,2309396078,1.49,103.79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487729_2304813721,FJ487729,2304813721,1.28,103.86,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487734_2307225325,FJ487734,2307225325,1.28,103.86,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487752_2310669094,FJ487752,2310669094,6.29,116.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487753_2310178512,FJ487753,2310178512,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487755_2310428186,FJ487755,2310428186,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487756_2309852047,FJ487756,2309852047,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487757_2311129177,FJ487757,2311129177,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487768_2308950248,FJ487768,2308950248,1.3,103.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ487769_2311080468,FJ487769,2311080468,-0.4,99.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
