phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN549607_1415651021,MN549607,1415651021,-23.7358,-64.8508,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549632_2250747339,MN549632,2250747339,-23.89,-65.21,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549633_2250747160,MN549633,2250747160,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ027466_2250735320,FJ027466,2250735320,-23.938,-65.218,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ027467_2309349662,FJ027467,2309349662,-23.93,-65.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027468_2310320124,FJ027468,2310320124,-23.93,-65.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027469_2309679105,FJ027469,2309679105,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027470_2310738778,FJ027470,2310738778,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027471_2250736012,FJ027471,2250736012,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ027472_2250736020,FJ027472,2250736020,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ027473_2310686001,FJ027473,2310686001,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM396151_1415650749,HM396151,1415650749,-26.8,-59.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HM396257_1415650833,HM396257,1415650833,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569925_1415646931,HQ569925,1415646931,-27.32,-58.95,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN801611_2250769368,JN801611,2250769368,-8.885,-43.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
