phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
EU541464_2308995660,EU541464,2308995660,6.29,116.71,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473063_2249769192,FJ473063,2249769192,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473065_2249769253,FJ473065,2249769253,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473066_2249769191,FJ473066,2249769191,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473067_2249769209,FJ473067,2249769209,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473068_2249769207,FJ473068,2249769207,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473081_2249769180,FJ473081,2249769180,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473083_2249769181,FJ473083,2249769181,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473085_2249769184,FJ473085,2249769184,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473086_2249769187,FJ473086,2249769187,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473088_2249769185,FJ473088,2249769185,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473090_2249769320,FJ473090,2249769320,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473094_2305250814,FJ473094,2305250814,-1.17,116.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473124_2249769195,FJ473124,2249769195,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473125_2249769147,FJ473125,2249769147,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473126_2249769146,FJ473126,2249769146,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473127_2249769337,FJ473127,2249769337,1.27814,103.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473148_2310035950,FJ473148,2310035950,5.33,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473149_2249769130,FJ473149,2249769130,4.851,115.699,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473159_2309703990,FJ473159,2309703990,-0.4,99.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
