phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
HM380206_2308902318,HM380206,2308902318,50.58,7.36,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF443078_2310386258,JF443078,2310386258,46.05,7.27,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF443080_2308020123,JF443080,2308020123,44.22,38.9,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF443081_2308963285,JF443081,2308963285,44.71,37.46,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF443082_2307404489,JF443082,2307404489,44.71,37.46,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF443083_2304165371,JF443083,2304165371,44.71,37.46,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008082_2305871079,JX008082,2305871079,44.71,37.46,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008083_2306716285,JX008083,2306716285,41.27,69.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008084_2307927949,JX008084,2307927949,41.27,69.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KY754532_2308212682,KY754532,2308212682,48.23,16.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MT407316_2979611331,MT407316,2979611331,39,-9.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MT407317_2979399295,MT407317,2979399295,40.3,-7.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MT407318_2979628263,MT407318,2979628263,41.5,-7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MT407319_2979572295,MT407319,2979572295,41.5,-7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
