phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842854_2248761486,AB842854,2248761486,26.639,142.159,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842855_2248760648,AB842855,2248760648,26.762,128.216,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842856_2248761932,AB842856,2248761932,34.096,139.494,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842857_2248762439,AB842857,2248762439,24.456,123.013,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842859_2248760438,AB842859,2248760438,34.07,139.554,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842860_2248761894,AB842860,2248761894,33.888,139.596,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842861_2248759712,AB842861,2248759712,24.412,124.186,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842863_2248762820,AB842863,2248762820,43.219,142.381,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842864_2248762591,AB842864,2248762591,35.699,139.698,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842865_2248761354,AB842865,2248761354,34.202,139.138,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842866_2248761684,AB842866,2248761684,34.375,139.256,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842867_2248764639,AB842867,2248764639,35.336,132.691,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842868_2248761931,AB842868,2248761931,26.639,142.159,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842869_2248760635,AB842869,2248760635,24.802,125.186,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842870_2248763763,AB842870,2248763763,24.398,123.768,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842871_2248764472,AB842871,2248764472,28.451,129.593,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842872_2248760472,AB842872,2248760472,26.731,128.206,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842873_2248761729,AB842873,2248761729,35.643,139.655,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842874_2248761841,AB842874,2248761841,35.635,139.721,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842875_2248762300,AB842875,2248762300,28.362,129.243,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842876_2248761416,AB842876,2248761416,28.299,129.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842877_2248763351,AB842877,2248763351,42.809,140.89,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842878_2248761569,AB842878,2248761569,28.38,129.438,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842879_2248762354,AB842879,2248762354,28.355,129.394,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842880_2248760351,AB842880,2248760351,26.746,128.318,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
