phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ433036_2307491933,DQ433036,2307491933,2.87,-59.27,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433037_2307503358,DQ433037,2307503358,2.87,-59.27,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433834_2306771421,DQ433834,2306771421,2.22,-59.27,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027871_2310551322,FJ027871,2310551322,-24.12,-64.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027872_2309962614,FJ027872,2309962614,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027873_2310161882,FJ027873,2310161882,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027874_2311005273,FJ027874,2311005273,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027875_2308459946,FJ027875,2308459946,-25.1,-58.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801328_2250743888,JN801328,2250743888,10.512,-85.364,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801329_2250743864,JN801329,2250743864,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801330_2250743904,JN801330,2250743904,10.512,-85.364,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801331_2250743658,JN801331,2250743658,10.494,-85.381,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801332_2250743721,JN801332,2250743721,10.494,-85.381,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801333_2250743936,JN801333,2250743936,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801334_2250743583,JN801334,2250743583,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801335_2250743530,JN801335,2250743530,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801336_2250743928,JN801336,2250743928,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801337_2250743878,JN801337,2250743878,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801338_2250743834,JN801338,2250743834,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801339_2250743847,JN801339,2250743847,10.511,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801340_2250743882,JN801340,2250743882,10.504,-85.363,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801828_2250768982,JN801828,2250768982,-8.885,-43.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
