phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842814_2248762614,AB842814,2248762614,26.175,127.748,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842815_2248762281,AB842815,2248762281,28.4383,129.344,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842816_2248761335,AB842816,2248761335,28.293,129.971,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842819_2248762034,AB842819,2248762034,27.757,128.973,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842820_2248762571,AB842820,2248762571,24.7965,125.318,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842821_2248761482,AB842821,2248761482,35.7048,139.698,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842822_2248762917,AB842822,2248762917,26.768,128.238,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842823_2248763482,AB842823,2248763482,24.8,125.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842824_2248759911,AB842824,2248759911,24.31,123.502,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842825_2248761745,AB842825,2248761745,26.728,128.178,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842826_2248762096,AB842826,2248762096,26.327,127.803,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842827_2248761869,AB842827,2248761869,26.756,128.295,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842828_2248761384,AB842828,2248761384,26.728,128.178,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842829_2248762555,AB842829,2248762555,26.728,128.178,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842830_2248762606,AB842830,2248762606,26.707,128.268,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842831_2248762215,AB842831,2248762215,28.4101,129.59,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842832_2248762314,AB842832,2248762314,26.728,128.178,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842834_2248762154,AB842834,2248762154,28.366,129.499,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842835_2248760826,AB842835,2248760826,28.317,129.345,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843540_2251605051,AB843540,2251605051,26.717,128.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843541_2251605980,AB843541,2251605980,35.767,139.017,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843542_2251605107,AB843542,2251605107,24.467,124.133,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843543_2251605022,AB843543,2251605022,28.217,129.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
EU541466_2308840819,EU541466,2308840819,14.14,122.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JQ174991_2307000020,JQ174991,2307000020,17.92,122.03,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
