phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ433176_2307311607,DQ433176,2307311607,64.7,-147.1,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434739_2250737295,DQ434739,2250737295,42.586,-80.399,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ434740_2250737123,DQ434740,2250737123,42.856,-79.552,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
HM033764_2310764300,HM033764,2310764300,42.53,-80.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033765_2310589719,HM033765,2310589719,42.53,-80.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033766_2248710443,HM033766,2248710443,42.856,-79.552,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
HM033767_2310338177,HM033767,2310338177,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033768_2308776528,HM033768,2308776528,60.23,-132.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033769_2309181437,HM033769,2309181437,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033770_2310447561,HM033770,2310447561,49.31,-119.54,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033771_2310650439,HM033771,2310650439,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033772_2310453333,HM033772,2310453333,43.63,-79.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033773_2310413082,HM033773,2310413082,49.31,-119.54,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033774_2311185623,HM033774,2311185623,49.31,-119.54,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033775_2310386021,HM033775,2310386021,49.31,-119.54,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033776_2309715516,HM033776,2309715516,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033777_2310952464,HM033777,2310952464,49.31,-119.54,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033778_2305438142,HM033778,2305438142,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033779_2304578556,HM033779,2304578556,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033780_2305430944,HM033780,2305430944,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033781_2308557549,HM033781,2308557549,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033782_2304847336,HM033782,2304847336,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033783_2304270393,HM033783,2304270393,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033784_2304772067,HM033784,2304772067,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
AY666527_2250587880,AY666527,2250587880,43.833,-79.186,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666549_2250587576,AY666549,2250587576,50,-86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
