phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN549595_1415633702,MN549595,1415633702,-16.442,-62.172,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549634_1415633529,MN549634,1415633529,-16.442,-62.772,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549635_2250747259,MN549635,2250747259,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549638_1415651040,MN549638,1415651040,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549639_1415650970,MN549639,1415650970,-23.7358,-64.8508,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ027484_2304263021,FJ027484,2304263021,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027485_2305612502,FJ027485,2305612502,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027486_2307754773,FJ027486,2307754773,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027487_2305890800,FJ027487,2305890800,-23.93,-65.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM396219_1415650790,HM396219,1415650790,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HM396260_1415650829,HM396260,1415650829,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HM906004_1414206541,HM906004,1414206541,-30.89,-63,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN313555_1415651096,JN313555,1415651096,-25.1223,-58.1746,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN313569_1415651079,JN313569,1415651079,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN801617_2250769015,JN801617,2250769015,-8.885,-43.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JQ174619_2308582595,JQ174619,2308582595,5.28,-60.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
