phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MG845644_2305775725,MG845644,2305775725,5.33,-124.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845645_2306180412,MG845645,2306180412,5.5,-123.76,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845646_2304534781,MG845646,2304534781,5.5,-123.76,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845647_2304190512,MG845647,2304190512,5.27,-121.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845648_2306267065,MG845648,2306267065,5.27,-121.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845649_2304785595,MG845649,2304785595,5.27,-121.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845650_2304628690,MG845650,2304628690,5.27,-121.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845651_2306043236,MG845651,2306043236,3.58,-123.08,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845652_2308871922,MG845652,2308871922,3.58,-123.08,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845653_2309919886,MG845653,2309919886,3.58,-123.08,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845654_2309632008,MG845654,2309632008,3.58,-123.08,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845655_2308028235,MG845655,2308028235,3.99,-122.56,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845656_2310871274,MG845656,2310871274,5.5,-123.76,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845657_2310194569,MG845657,2310194569,5.47,-123.76,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845658_2308423350,MG845658,2308423350,5.27,-121.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845659_2309726665,MG845659,2309726665,5.27,-121.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845660_2310499972,MG845660,2310499972,3.58,-123.08,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MG845661_2308698436,MG845661,2308698436,3.58,-123.08,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
