phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843290_2248763450,AB843290,2248763450,27.757,128.973,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843291_2248763363,AB843291,2248763363,26.639,142.159,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843292_2248761128,AB843292,2248761128,27.3768,128.568,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843293_2248762589,AB843293,2248762589,26.639,142.159,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843294_2248762600,AB843294,2248762600,28.451,129.593,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843295_2248763014,AB843295,2248763014,36.602,137.608,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843296_2248762654,AB843296,2248762654,26.728,128.179,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843297_2248761096,AB843297,2248761096,26.745,128.177,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843300_2248761049,AB843300,2248761049,26.756,128.301,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843301_2248762174,AB843301,2248762174,35.635,139.721,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843302_2248762930,AB843302,2248762930,28.311,129.915,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843303_2248764380,AB843303,2248764380,24.456,123.013,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843304_2248760655,AB843304,2248760655,26.789,128.262,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843305_2248762826,AB843305,2248762826,42.888,143.438,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843306_2248760396,AB843306,2248760396,36.101,140.11,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843307_2248761497,AB843307,2248761497,34.115,139.509,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843308_2248762320,AB843308,2248762320,28.311,129.915,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843309_2248763432,AB843309,2248763432,35.73,139.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843310_2248763417,AB843310,2248763417,24.416,124.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
