phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JF442314_2248483827,JF442314,2248483827,-2.902,38.038,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442315_2248482833,JF442315,2248482833,-2.986,38.019,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442316_2248482798,JF442316,2248482798,-2.986,38.019,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442317_2248482820,JF442317,2248482820,-2.986,38.019,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442318_2248484031,JF442318,2248484031,-2.986,38.019,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442319_2248482805,JF442319,2248482805,-0.007,34.605,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442320_2248483440,JF442320,2248483440,-0.007,34.605,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442321_2248482776,JF442321,2248482776,-0.007,34.605,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442322_2248483227,JF442322,2248483227,-0.007,34.605,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442323_2248483498,JF442323,2248483498,-0.007,34.605,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442324_2248482835,JF442324,2248482835,-2.90176,38.0383,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442325_2248483400,JF442325,2248483400,-2.90176,38.0383,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442326_2248483111,JF442326,2248483111,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442327_2248482527,JF442327,2248482527,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442328_2248483033,JF442328,2248483033,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442329_2248483310,JF442329,2248483310,0.29195,36.8982,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442330_2248483022,JF442330,2248483022,0.29195,36.8982,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442332_2248482946,JF442332,2248482946,0.29195,36.8982,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442333_2248482759,JF442333,2248482759,0.29195,36.8982,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442334_2248483429,JF442334,2248483429,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442335_2248481966,JF442335,2248481966,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442336_2248483271,JF442336,2248483271,-2.90176,38.0383,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442337_2248482737,JF442337,2248482737,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442338_2248483481,JF442338,2248483481,-3.07571,39.2175,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442339_2248482920,JF442339,2248482920,-2.90176,38.0383,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442340_2310599472,JF442340,2310599472,-3.6,38.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442341_2310297389,JF442341,2310297389,-3.6,38.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442342_2309211379,JF442342,2309211379,-3.6,38.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442343_2308924549,JF442343,2308924549,-3.6,38.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442344_2307906135,JF442344,2307906135,-3.6,38.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442345_2310558720,JF442345,2310558720,-3.6,38.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442346_2310370218,JF442346,2310370218,-0.18,34.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442347_2310780661,JF442347,2310780661,-0.18,34.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442348_2309724533,JF442348,2309724533,-0.18,34.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442349_2310604246,JF442349,2310604246,-0.18,34.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MF947529_2308062672,MF947529,2308062672,-23.89,31.1,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK533740_2633802726,MK533740,2633802726,7.53873,-8.77171,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
