phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MT456625_2633117597,MT456625,2633117597,48.502,-100.612,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MT456680_2633551612,MT456680,2633551612,48.502,-100.612,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
DQ432708_2248808548,DQ432708,2248808548,41.5,-87.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ432709_2248808929,DQ432709,2248808929,41.5,-87.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ433298_2305844549,DQ433298,2305844549,48.51,-95.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM230725_2249775161,HM230725,2249775161,43.56,-70.36,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230726_2249775160,HM230726,2249775160,43.56,-70.36,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230727_2249775163,HM230727,2249775163,43.56,-70.36,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230728_2249775159,HM230728,2249775159,44.61,-68.84,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230729_2249775155,HM230729,2249775155,44.61,-68.84,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230730_2249775158,HM230730,2249775158,44.61,-68.84,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230731_2249775157,HM230731,2249775157,44.61,-68.84,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
HM230734_2249775154,HM230734,2249775154,44.61,-68.84,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
