phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842491_2248764777,AB842491,2248764777,34.76,139.43,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842492_2248761076,AB842492,2248761076,35.561,139.716,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842494_2248761271,AB842494,2248761271,43.511,143.149,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842495_2248762732,AB842495,2248762732,38.78,139.81,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842496_2248762874,AB842496,2248762874,43.241,143.547,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842498_2248762507,AB842498,2248762507,43.099,144.184,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842499_2248761780,AB842499,2248761780,42.352,141.053,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843322_2251605224,AB843322,2251605224,35.328,139.507,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843323_2251605021,AB843323,2251605021,36.639,139.042,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843324_2251607082,AB843324,2251607082,37.948,139.184,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
DQ432695_2307203193,DQ432695,2307203193,65,-153,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433276_2309034376,DQ433276,2309034376,60.45,-137.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ922622_2249774492,GQ922622,2249774492,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GQ922623_2249774493,GQ922623,2249774493,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GQ922624_2249774485,GQ922624,2249774485,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GQ922625_2249774498,GQ922625,2249774498,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GU571207_2308278635,GU571207,2308278635,59.66,10.79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571208_2305024729,GU571208,2305024729,59.69,10.72,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571687_2310844516,GU571687,2310844516,61.2,17.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571688_2309240796,GU571688,2309240796,61.29,17.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946551_2251007965,KF946551,2251007965,52.4,4.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946552_2251007534,KF946552,2251007534,51.52,5.78,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666492_2251566146,AY666492,2251566146,50,-86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666498_2251565196,AY666498,2251565196,55,-125,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
