phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MK262315_2310374378,MK262315,2310374378,-37.19,175.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262439_2310298365,MK262439,2310298365,-17.98,122.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262466_2308352686,MK262466,2308352686,-37.19,175.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262594_2305381475,MK262594,2305381475,-37.19,175.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262597_2304434528,MK262597,2304434528,-37.19,175.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262676_2307503551,MK262676,2307503551,-37.19,175.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482058_2305145456,GQ482058,2305145456,66.58,34.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482059_2304598854,GQ482059,2304598854,66.58,34.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482060_2309415108,GQ482060,2309415108,68.98,34.89,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482061_2311212710,GQ482061,2311212710,68.98,34.89,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571457_2305104412,GU571457,2305104412,69.33,29.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF009542_2306684311,KF009542,2306684311,-35.67,173.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946727_2251005667,KF946727,2251005667,53.4833,6.2666,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946728_2251004549,KF946728,2251004549,53.4,6.1,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946729_2251006880,KF946729,2251006880,53.4833,6.2666,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946730_2251007359,KF946730,2251007359,53.4,6.1,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946731_2251006276,KF946731,2251006276,53.4,6.1,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946732_2251006571,KF946732,2251006571,53.4,6.1,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946733_2251006536,KF946733,2251006536,53.4,6.1,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946734_2251006917,KF946734,2251006917,52.52,4.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946735_2251005807,KF946735,2251005807,52.52,4.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666279_2251565569,AY666279,2251565569,61.532,-165.588,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666291_2251564913,AY666291,2251564913,61.532,-165.588,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
